,region,price,year,manufacturer,model,condition,odometer,transmission,drive,type,paint_color
1174,hawaii,9900,2011,lexus,es 350,excellent,100620,automatic,fwd,sedan,silver
1175,kansas city,9480,2014,chevrolet,cruze,excellent,95748,automatic,fwd,sedan,black
1176,boise,23995,2017,kia,sorento sx limited,excellent,66546,automatic,4wd,SUV,grey
1177,st george,43998,2018,ram,1500,excellent,79217,automatic,4wd,pickup,black
1178,southeast KS,0,2017,chevrolet,traverse,excellent,109104,automatic,fwd,SUV,white
1179,albuquerque,11990,2013,mini,coupe cooper s 2d,good,96585,automatic,fwd,coupe,blue
1180,rhode island,9995,2014,ford,explorer 4x4,good,118000,automatic,4wd,SUV,custom
1181,fresno / madera,11590,2016,chevrolet,spark ev 2lt hatchback,good,25837,other,fwd,hatchback,silver
1182,boston,2499,2006,subaru,forester,excellent,126000,automatic,4wd,wagon,blue
1183,las vegas,19990,2012,honda,ridgeline sport pickup 4d,good,77636,other,4wd,pickup,black
1184,minneapolis / st paul,13955,2014,ford,e150 econoline cargo van,excellent,111459,automatic,rwd,van,white
1185,houston,17900,2019,toyota,corolla le,excellent,21325,automatic,fwd,sedan,red
1186,harrisonburg,8750,2012,volvo,s60 t5,excellent,109930,automatic,fwd,sedan,red
1187,delaware,3699,2004,infiniti,i35 luxury,good,172000,automatic,fwd,sedan,silver
1188,"washington, DC",4900,2009,hyundai,santa fe,good,119978,automatic,4wd,SUV,white
1189,northern WI,7995,2014,ford,escape,good,154255,automatic,4wd,wagon,silver
1190,helena,27995,2014,ford,f150 supercrew lariat 4x4,good,87216,automatic,4wd,pickup,white
1191,orange county,3600,2002,mercedes-benz,benz ml320,excellent,158,automatic,4wd,SUV,custom
1192,southern maryland,12500,2014,honda,civic si coupe,good,93000,manual,fwd,coupe,black
1193,bend,25900,2017,subaru,outback 2.5l limited,like new,25417,automatic,4wd,SUV,red
1194,fort collins / north CO,14500,2012,subaru,outback,excellent,92428,automatic,4wd,SUV,blue
1195,st cloud,24777,2014,chevrolet,express passenger,good,71825,automatic,4wd,van,silver
1196,san diego,0,2007,bmw,3 series,excellent,82420,automatic,rwd,coupe,silver
1197,fort collins / north CO,15556,2017,volkswagen,beetle 1.8t s,good,48630,automatic,fwd,hatchback,white
1198,anchorage / mat-su,38995,2017,audi,q7 premium plus awd,excellent,40089,automatic,4wd,SUV,black
1199,treasure coast,33990,2013,mercedes-benz,c-class c 63 amg,good,61157,automatic,rwd,sedan,black
1200,eastern NC,26590,2019,dodge,challenger gt coupe 2d,good,7529,other,rwd,coupe,white
1201,boston,5345,2011,toyota,prius iii,excellent,155050,automatic,fwd,hatchback,red
1202,tulsa,24990,2018,jeep,grand cherokee upland sport,good,30104,other,4wd,other,black
1203,reno / tahoe,9950,2011,volkswagen,golf,excellent,82250,automatic,fwd,sedan,grey
1204,charlotte,2200,2004,mitsubishi,diamante ls,good,182000,automatic,rwd,sedan,white
1205,detroit metro,17000,2013,lexus,gs 350,excellent,123115,automatic,4wd,sedan,grey
1206,mankato,0,2003,chevrolet,silverado 1500,excellent,220925,automatic,4wd,truck,black
1207,winchester,20480,2013,ram,1500,excellent,85968,automatic,4wd,pickup,grey
1208,boston,18590,2014,volkswagen,beetle 1.8t,good,10930,automatic,fwd,other,black
1209,harrisburg,5995,1999,chevrolet,blazer,excellent,93000,automatic,4wd,SUV,silver
1210,indianapolis,14500,2005,lexus,ls430,excellent,95000,automatic,rwd,sedan,silver
1211,los angeles,12500,2009,ford,f450 passenger mobility,excellent,166165,automatic,rwd,van,white
1212,new haven,1000,2018,chevrolet,malibu,like new,39000,automatic,fwd,sedan,grey
1213,san diego,11200,2017,volkswagen,jetta,excellent,82377,automatic,fwd,sedan,black
1214,fort collins / north CO,11000,2010,dodge,dakota,excellent,127000,automatic,4wd,truck,orange
1215,albany,36990,2010,chevrolet,corvette grand sport,good,30665,other,rwd,convertible,grey
1216,rockford,1600,2004,buick,lesabre,good,153000,automatic,fwd,sedan,brown
1217,montgomery,14590,2013,volkswagen,beetle 2.5l hatchback,good,30885,automatic,fwd,hatchback,black
1218,victoria,43500,2017,toyota,seq,like new,48000,automatic,rwd,SUV,white
1219,des moines,10950,2016,mazda,mazda3,good,54750,automatic,fwd,sedan,black
1220,ft myers / SW florida,7898,2012,chrysler,200 touring convertible,excellent,69399,automatic,fwd,convertible,red
1221,south coast,8900,2010,nissan,pathfinder le,excellent,137000,automatic,4wd,SUV,white
1222,tampa bay area,26500,2014,audi,a8 l w12,excellent,143000,automatic,4wd,sedan,red
1223,south coast,6800,2008,infiniti,g35xs,good,146250,automatic,4wd,sedan,silver
1224,mansfield,9995,2014,dodge,gr caravan se,like new,103098,automatic,fwd,mini-van,grey
1225,madison,9995,2017,hyundai,accent se,like new,24147,automatic,fwd,sedan,black
1226,brainerd,18300,2012,chrysler,town & country,good,87000,automatic,fwd,mini-van,blue
1227,charleston,3900,2009,nissan,altima 2.5s,good,166000,automatic,fwd,coupe,black
1228,flint,20990,2018,honda,accord hybrid sedan 4d,good,42865,automatic,fwd,sedan,grey
1229,knoxville,10900,2011,ford,explorer,excellent,122917,automatic,4wd,SUV,blue
1230,eau claire,20500,2010,dodge,caravan sxt,excellent,71900,automatic,fwd,mini-van,silver
1231,new york city,10500,2010,mercedes-benz,s550,good,150,automatic,4wd,sedan,grey
1232,grand rapids,17490,2016,mazda,cx-5,excellent,99044,automatic,4wd,SUV,white
1233,sarasota-bradenton,4950,2008,ford,fusion sel,good,5535,automatic,fwd,sedan,blue
1234,appleton-oshkosh-FDL,4995,2005,toyota,camry,excellent,165107,automatic,fwd,sedan,silver
1235,daytona beach,2000,2007,ford,focus zx4,excellent,141036,automatic,fwd,sedan,silver
1236,western massachusetts,31985,2014,ford,super duty f-350 srw,good,55821,automatic,4wd,truck,black
1237,pittsburgh,15995,2013,ford,f-150,good,107510,automatic,4wd,truck,blue
1238,gulfport / biloxi,11590,2011,gmc,yukon xl,excellent,140500,automatic,rwd,SUV,silver
1239,fargo / moorhead,15990,2010,ford,f-550 crew cab 4x4,good,240912,automatic,4wd,pickup,red
1240,flint,18500,2019,hyundai,santa fe,like new,36000,automatic,fwd,SUV,blue
1241,boise,215,2017,hyundai,accent,excellent,60000,automatic,fwd,sedan,grey
1242,columbus,5995,2010,lincoln,mkz,like new,148000,automatic,fwd,SUV,green
1243,norfolk / hampton roads,8495,2008,acura,tl,excellent,82979,automatic,fwd,sedan,black
1244,st cloud,11000,2007,chevrolet,silverado,good,197000,manual,4wd,pickup,red
1245,sacramento,22998,2019,chrysler,300 s,excellent,28978,automatic,4wd,sedan,black
1246,long island,24950,2010,ford,f550,good,93000,automatic,4wd,truck,red
1247,appleton-oshkosh-FDL,32200,2012,ford,f-150,excellent,46525,automatic,4wd,truck,black
1248,western massachusetts,36900,2015,chevrolet,silverado 1500,excellent,78911,automatic,4wd,truck,white
1249,flint,28995,2017,ford,explorer,like new,53419,automatic,4wd,SUV,silver
1250,syracuse,7995,2010,nissan,altima hybrid,excellent,54250,automatic,fwd,sedan,black
1251,reno / tahoe,28590,2012,bmw,6 series 650i convertible 2d,good,36687,automatic,rwd,other,white
1252,colorado springs,7495,2015,ford,focus se,excellent,90437,automatic,fwd,sedan,silver
1253,worcester / central MA,30990,2017,lexus,rx 350 f sport suv 4d,good,49076,other,fwd,SUV,black
1254,eastern NC,7000,2007,honda,cr-v,like new,180000,automatic,4wd,SUV,blue
1255,columbia / jeff city,9800,2011,subaru,forester,excellent,117,automatic,4wd,SUV,green
1256,charlotte,14500,1999,bmw,z3 m roadster,excellent,83000,manual,rwd,convertible,red
1257,siskiyou county,17500,2008,toyota,sequoia,excellent,129000,automatic,4wd,SUV,white
1258,hartford,9000,2014,kia,forte lx,excellent,51500,automatic,fwd,sedan,black
1259,reno / tahoe,2500,1994,chevrolet,silverado 1500 z71,fair,235145,manual,fwd,pickup,red
1260,jacksonville,12990,2019,chevrolet,sonic lt sedan 4d,good,23270,other,fwd,sedan,black
1261,winston-salem,34535,2016,chevrolet,silverado 1500,excellent,66000,automatic,4wd,truck,grey
1262,wyoming,27990,2015,dodge,challenger r/t coupe 2d,good,3580,other,rwd,coupe,black
1263,medford-ashland,7999,2007,honda,crv ex 4wd,good,168105,automatic,4wd,SUV,silver
1264,lehigh valley,5900,2009,chevrolet,malibu lt,excellent,84000,automatic,fwd,sedan,silver
1265,south bend / michiana,6990,2009,chevrolet,cobalt lt coupe 2d,good,80541,other,fwd,coupe,red
1266,lancaster,31990,2017,chevrolet,silverado 1500 double,good,28773,automatic,4wd,pickup,black
1267,elmira-corning,52900,2014,ford,mustang shelby gt500,like new,24000,manual,rwd,coupe,red
1268,western massachusetts,7495,2012,volkswagen,tiguan,excellent,126377,automatic,4wd,other,silver
1269,rhode island,9995,2008,subaru,impreza,excellent,124266,manual,4wd,sedan,silver
1270,sarasota-bradenton,0,2014,ford,f-150,excellent,110843,automatic,4wd,pickup,white
1271,indianapolis,8500,2009,toyota,sienna,excellent,137000,automatic,fwd,van,white
1272,las vegas,16500,2015,bmw,i3 tera with range extender,excellent,30331,automatic,rwd,hatchback,silver
1273,denver,3000,2000,toyota,tacoma,good,308000,manual,rwd,pickup,silver
1274,greensboro,3150,2000,gmc,sonoma sls,good,76500,automatic,rwd,truck,black
1275,hanford-corcoran,29990,2017,jeep,wrangler unlimited willys,good,18181,other,4wd,other,white
1276,valdosta,41990,2012,chevrolet,camaro zl1 coupe 2d,good,2778,other,rwd,coupe,red
1277,asheville,22995,2013,chevrolet,silverado 1500 crew ca,excellent,127262,automatic,4wd,truck,silver
1278,oklahoma city,11988,2011,ram,1500 quad cab lone star,good,143778,automatic,rwd,truck,silver
1279,champaign urbana,5950,2006,ford,escape 4x4 snow plow,excellent,157946,automatic,4wd,SUV,white
1280,olympic peninsula,1500,2002,subaru,legacy,fair,222000,automatic,4wd,wagon,green
1281,great falls,21500,2015,honda,pilot ex-l,excellent,93600,automatic,4wd,SUV,custom
1282,daytona beach,20999,2016,buick,enclave,excellent,49756,automatic,fwd,SUV,black
1283,medford-ashland,9999,2011,buick,enclave cxl awd,good,141482,automatic,4wd,SUV,silver
1284,omaha / council bluffs,9990,2010,dodge,dakota,good,120971,automatic,4wd,truck,white
1285,bakersfield,5100,2007,honda,civic lx,excellent,170165,automatic,fwd,sedan,blue
1286,raleigh / durham / CH,19990,2016,toyota,avalon,excellent,62099,other,fwd,sedan,silver
1287,boise,6995,2002,ford,explorer sport trac,good,234434,automatic,4wd,pickup,white
1288,bakersfield,23990,2019,toyota,prius prime plus,good,11377,automatic,fwd,hatchback,red
1289,syracuse,4495,2015,ford,fiesta se,good,100257,manual,fwd,sedan,blue
1290,boise,7288,2005,volkswagen,gti,good,94555,automatic,fwd,hatchback,red
1291,tulsa,17800,2014,dodge,grand caravan,good,137000,automatic,fwd,mini-van,white
1292,north jersey,500,2017,honda,accord coupe ex-l,like new,59743,automatic,fwd,coupe,white
1293,modesto,41990,2017,gmc,sierra 1500 crew cab denali,good,47508,automatic,4wd,pickup,silver
1294,baton rouge,11450,2016,ford,transit connect cargo xlt,good,141105,automatic,rwd,van,white
1295,tallahassee,2995,2003,honda,pilot ex-l,good,132405,automatic,4wd,SUV,silver
1296,"washington, DC",31990,2014,jaguar,f-type s convertible 2d,good,42862,automatic,rwd,other,white
1297,hudson valley,6995,2009,nissan,rogue,excellent,136813,automatic,4wd,wagon,silver
1298,stockton,0,2017,honda,civic lx,good,18057,automatic,fwd,sedan,white
1299,san antonio,19990,2015,hyundai,genesis coupe 3.8 2d,good,30056,automatic,rwd,coupe,white
1300,mcallen / edinburg,2000,2017,chevrolet,malibu,like new,37540,automatic,fwd,sedan,white
1301,richmond,8295,2012,honda,civic,like new,105750,automatic,fwd,sedan,blue
1302,denver,15288,2013,acura,rdx,excellent,92982,automatic,4wd,SUV,blue
1303,madison,10990,2016,dodge,dart,excellent,95749,automatic,fwd,sedan,red
1304,milwaukee,27400,2016,gmc,sierra 1500,excellent,115000,automatic,4wd,pickup,black
1305,south jersey,6500,2008,toyota,camry,excellent,143100,automatic,fwd,sedan,green
1306,hudson valley,11999,2014,subaru,forester awd,excellent,111000,automatic,4wd,SUV,silver
1307,madison,3290,2009,pontiac,g6,excellent,145400,automatic,fwd,sedan,grey
1308,oregon coast,10995,2013,kia,sorento ex 4x4,excellent,114300,automatic,4wd,SUV,silver
1309,salem,5975,2004,chevrolet,avalanche,good,146179,automatic,4wd,pickup,brown
1310,kalispell,17000,2013,gmc,acadia denali,excellent,96230,automatic,4wd,SUV,white
1311,inland empire,19750,2017,ford,taurus,excellent,10331,automatic,fwd,sedan,white
1312,"kansas city, MO",4390,2006,bmw,x5,fair,190714,automatic,4wd,SUV,white
1313,cleveland,10995,2018,chevrolet,malibu,like new,63600,automatic,fwd,sedan,grey
1314,orange county,13495,2013,kia,sportage lx,excellent,18562,automatic,fwd,SUV,blue
1315,dayton / springfield,13799,2014,ford,f150,excellent,218065,automatic,4wd,truck,white
1316,boise,9995,2009,lexus,is250,good,84100,automatic,4wd,sedan,white
1317,new haven,3200,2005,jeep,liberty renegade 4x4,good,148606,automatic,4wd,SUV,silver
1318,anchorage / mat-su,23900,2015,ford,f-150 xlt fx4,excellent,132565,automatic,4wd,truck,red
1319,winston-salem,5000,2010,mini,cooper,excellent,106298,manual,rwd,hatchback,black
1320,columbus,11950,2011,ford,f-150,good,155420,automatic,4wd,truck,white
1321,southwest michigan,11950,2004,ford,f-250 super duty 4 dr,excellent,213200,automatic,4wd,truck,blue
1322,cincinnati,4900,2007,toyota,camry,good,209100,automatic,fwd,sedan,black
1323,western slope,37500,2018,ram,promaster 1500,excellent,37000,automatic,fwd,van,grey
1324,treasure coast,10995,2016,chevrolet,equinoxlt,good,82900,automatic,fwd,SUV,silver
1325,inland empire,1500,2006,hyundai,elantra,good,173469,automatic,4wd,sedan,custom
1326,philadelphia,4000,2008,bmw,x5 3.0i,good,176800,automatic,4wd,SUV,silver
1327,colorado springs,23895,2018,subaru,wrx,good,33297,manual,4wd,sedan,blue
1328,greensboro,5200,2014,chevrolet,sonic lt,excellent,118000,automatic,fwd,hatchback,black
1329,milwaukee,11990,2011,toyota,sienna,excellent,147634,automatic,fwd,mini-van,white
1330,lexington,34590,2019,nissan,titan crew cab sv pickup,good,7558,other,4wd,pickup,silver
1331,indianapolis,12590,2014,bmw,i3 hatchback 4d,good,40910,other,rwd,hatchback,grey
1332,el paso,6900,2010,honda,civic si,excellent,130000,manual,fwd,coupe,grey
1333,austin,24990,2013,bmw,1 series 135i coupe 2d,good,29520,other,rwd,coupe,blue
1334,flint,15995,2010,chevrolet,silverado 1500,excellent,113157,automatic,4wd,truck,blue
1335,dayton / springfield,9495,2012,ford,f-150,excellent,176238,automatic,4wd,truck,grey
1336,ft myers / SW florida,8900,2000,lexus,gs 300,good,102800,automatic,rwd,sedan,white
1337,santa maria,18500,2013,ford,f-150,excellent,113880,automatic,rwd,truck,grey
1338,rhode island,8999,2008,toyota,rav4,excellent,117364,automatic,4wd,SUV,black
1339,wilmington,7995,2012,jeep,patriot latitude,excellent,114393,automatic,4wd,SUV,blue
1340,charleston,7000,2004,chrysler,crossfire,good,158646,manual,rwd,coupe,black
1341,kalamazoo,15990,2019,chevrolet,malibu,good,19000,automatic,fwd,sedan,silver
1342,pittsburgh,4000,2006,kia,sportage,good,154546,automatic,4wd,SUV,blue
1343,stockton,32990,2018,mercedes-benz,slc 300 roadster,good,35847,other,rwd,other,black
1344,tulsa,5000,2012,ford,taurus,excellent,156000,automatic,fwd,sedan,red
1345,lynchburg,9500,2014,jeep,compass,good,96500,automatic,4wd,SUV,grey
1346,anchorage / mat-su,5500,2003,ford,f-150,good,149071,automatic,4wd,pickup,white
1347,colorado springs,5999,2006,honda,civic,good,167399,automatic,fwd,sedan,custom
1348,nashville,11788,2014,toyota,avalon,good,195762,automatic,fwd,sedan,custom
1349,appleton-oshkosh-FDL,25990,2011,bmw,m3 coupe 2d,good,89189,other,rwd,coupe,black
1350,savannah / hinesville,6500,2013,chevrolet,cruze lt,good,129500,automatic,fwd,sedan,blue
1351,bozeman,26161,2016,jeep,cherokee,excellent,45898,automatic,4wd,wagon,white
1352,vermont,4998,2009,toyota,matrix s,fair,169595,automatic,4wd,hatchback,blue
1353,lehigh valley,8999,2007,acura,tsx,excellent,85873,automatic,fwd,sedan,blue
1354,tulsa,0,2006,chrysler,300c,excellent,206238,automatic,rwd,sedan,black
1355,colorado springs,22990,2019,nissan,frontier crew cab sv,good,34684,other,fwd,pickup,blue
1356,fresno / madera,16590,2015,chevrolet,trax ltz sport utility,good,20357,other,fwd,hatchback,white
1357,columbia,3500,2008,ford,f150 fx4,excellent,250000,automatic,4wd,pickup,black
1358,daytona beach,6499,2011,mazda,3,good,96408,manual,fwd,hatchback,grey
1359,hartford,32590,2017,lexus,rx 350 f sport suv 4d,good,25335,other,fwd,other,black
1360,new york city,19997,2013,audi,q7,excellent,76893,automatic,4wd,SUV,silver
1361,st cloud,9995,2012,toyota,corolla,excellent,108950,automatic,fwd,sedan,black
1362,salem,45000,2018,jeep,wrangler unlimited rubicon,like new,16500,automatic,4wd,SUV,orange
1363,worcester / central MA,19500,2016,volkswagen,tiguan,good,25386,automatic,4wd,SUV,black
1364,"kansas city, MO",1850,1997,ford,crown victoria lx,good,175000,automatic,rwd,sedan,green
1365,augusta,0,2011,gmc,sierra 1500 sle,like new,133231,automatic,4wd,truck,silver
1366,akron / canton,10000,2011,acura,mdx,good,129000,automatic,4wd,SUV,white
1367,pittsburgh,13500,2014,chrysler,town & country,excellent,64000,automatic,fwd,mini-van,silver
1368,roanoke,8200,2004,ford,e350,excellent,94000,automatic,rwd,van,white
1369,utica-rome-oneida,4950,2010,mazda,cx-9,excellent,173000,automatic,4wd,SUV,black
1370,jacksonville,12800,2018,honda,civic,like new,17000,automatic,fwd,sedan,white
1371,zanesville / cambridge,0,2019,ram,1500 classic,excellent,25236,automatic,4wd,truck,silver
1372,albany,12500,2016,toyota,prius,excellent,93700,automatic,fwd,hatchback,silver
1373,norfolk / hampton roads,6997,2010,toyota,prius,excellent,168574,automatic,fwd,hatchback,white
1374,billings,27995,2019,honda,crv ex-l awd,like new,53120,automatic,4wd,SUV,blue
1375,visalia-tulare,24590,2012,jaguar,xj sedan 4d,good,30900,automatic,rwd,sedan,white
1376,long island,3000,2000,chevrolet,c/k 3500,good,43355,automatic,rwd,truck,white
1377,orlando,5990,2010,chevrolet,equinox,excellent,133127,automatic,fwd,SUV,blue
1378,rochester,9995,2008,chevrolet,silverado 1500,excellent,173809,automatic,4wd,truck,blue
1379,jacksonville,4500,2005,chevrolet,suburban,good,180000,automatic,rwd,SUV,brown
1380,akron / canton,9292,2015,jeep,cherokee latitude,good,138094,automatic,fwd,SUV,white
1381,mcallen / edinburg,1,2011,chevrolet,equinox ls,excellent,78100,automatic,fwd,SUV,silver
1382,maine,5600,2008,honda,fit,good,134764,manual,fwd,hatchback,orange
1383,sioux falls / SE SD,6550,2010,cadillac,dts premium,excellent,135100,automatic,fwd,sedan,grey
1384,detroit metro,39990,2018,tesla,model 3 long range sedan,good,20742,other,rwd,sedan,blue
1385,omaha / council bluffs,33950,2018,toyota,4runner limited,excellent,34000,automatic,4wd,SUV,red
1386,knoxville,0,2018,toyota,camry se,good,60060,automatic,fwd,sedan,red
1387,oklahoma city,12950,2008,ford,ranger sport,excellent,71000,automatic,4wd,pickup,red
1388,"kansas city, MO",28995,2006,chevrolet,corvette,good,7595,automatic,rwd,coupe,red
1389,kenosha-racine,4975,2005,dodge,caravan sxt,excellent,65239,automatic,fwd,mini-van,blue
1390,chicago,1700,1995,cadillac,eldorado,good,93117,automatic,fwd,coupe,white
1391,pueblo,1500,1999,jeep,grand cherokee limited,good,237000,automatic,4wd,SUV,black
1392,ventura county,2995,2006,nissan,sentra,good,115465,automatic,fwd,sedan,blue
1393,charlotte,26,2008,toyota,sion,excellent,140321,automatic,fwd,mini-van,grey
1394,harrisburg,12590,2012,honda,civic lx coupe 2d,good,60037,other,fwd,coupe,black
1395,bloomington,15997,2017,dodge,journey,like new,43579,automatic,fwd,SUV,red
1396,youngstown,16990,2011,mercedes-benz,e-class,excellent,59260,automatic,4wd,sedan,white
1397,dayton / springfield,7500,1996,ford,f250 hd,excellent,170000,automatic,4wd,pickup,green
1398,lincoln,14495,2013,ford,explorer xlt 4x4,excellent,120000,automatic,4wd,SUV,red
1399,long island,23000,2008,gmc,sierra,good,114000,automatic,4wd,truck,black
1400,louisville,22590,2016,buick,cascada premium,good,20405,other,fwd,other,black
1401,augusta,39990,2016,ram,1500 crew cab rebel pickup,good,18848,other,4wd,pickup,grey
1402,dayton / springfield,5800,2009,pontiac,torrent,excellent,111012,automatic,fwd,SUV,grey
1403,central NJ,11500,2013,subaru,xv crosstrek premium,excellent,110980,automatic,4wd,SUV,grey
1404,jacksonville,6000,2013,fiat,500 abarth,excellent,116500,manual,fwd,coupe,black
1405,hartford,0,2002,hyundai,santa fe,excellent,191453,automatic,4wd,SUV,grey
1406,hawaii,2695,2005,toyota,corolla,excellent,284259,automatic,fwd,sedan,grey
1407,detroit metro,129,2015,volkswagen,golf tsi s 2 door,good,82414,manual,fwd,hatchback,white
1408,lewiston / clarkston,6995,2005,bmw,3-series,excellent,125507,automatic,rwd,sedan,white
1409,rhode island,7995,2010,gmc,terrain,excellent,127000,automatic,4wd,SUV,red
1410,ventura county,11000,2013,honda,civic lx sedan 4d,excellent,68300,automatic,fwd,sedan,black
1411,jacksonville,800,2002,ram,van,good,89000,automatic,rwd,van,black
1412,detroit metro,4300,2009,volkswagen,routan se,excellent,125469,automatic,fwd,mini-van,blue
1413,vermont,6896,2010,toyota,corolla,good,100231,other,fwd,sedan,custom
1414,duluth / superior,1000,2007,volkswagen,rabbit,fair,195714,automatic,fwd,hatchback,silver
1415,rochester,6995,2010,toyota,camry le,excellent,116,automatic,fwd,sedan,blue
1416,memphis,4500,2006,toyota,scion xb,excellent,179000,manual,rwd,SUV,custom
1417,san diego,29995,2017,bmw,x5 sdrive 35i,excellent,36000,automatic,4wd,SUV,silver
1418,grand rapids,15995,2018,chevrolet,equinox,excellent,26016,automatic,fwd,SUV,blue
1419,baltimore,7900,2010,honda,accord ex,excellent,101860,automatic,fwd,sedan,silver
1420,treasure coast,26900,2013,chevrolet,silverado crew cab,like new,43400,automatic,rwd,pickup,white
1421,milwaukee,11995,2012,chrysler,300,excellent,100528,automatic,rwd,sedan,black
1422,charlotte,6950,2013,toyota,yaris sedan le,excellent,90935,automatic,fwd,sedan,grey
1423,fairbanks,24000,2019,volkswagen,golf alltrack,like new,8000,automatic,4wd,sedan,green
1424,fayetteville,0,2018,ford,mustang ecoboost fastback,good,21307,automatic,rwd,coupe,blue
1425,cedar rapids,7595,2008,gmc,acadia,excellent,143000,automatic,4wd,SUV,red
1426,milwaukee,0,2015,jeep,wrangler unlimited sahara,excellent,70885,automatic,4wd,SUV,red
1427,lexington,7900,2014,chevrolet,malibu,like new,37720,automatic,fwd,sedan,white
1428,new york city,10590,2016,chevrolet,sonic ls hatchback,good,53267,other,fwd,sedan,white
1429,janesville,5000,2010,honda,accord ex,good,191000,automatic,fwd,sedan,black
1430,cape cod / islands,11995,2011,toyota,highlander,excellent,171794,automatic,4wd,SUV,grey
1431,boston,26497,2013,cadillac,escalade platinum 4wd,excellent,104973,automatic,4wd,SUV,white
1432,philadelphia,20990,2007,chevrolet,express cargo van,good,133355,automatic,rwd,truck,white
1433,tucson,13995,2016,ford,transit,good,138426,automatic,rwd,van,white
1434,flint,16990,2013,mercedes-benz,e-class e 350,good,84927,automatic,rwd,sedan,white
1435,madison,3500,1995,jaguar,xj xj6 sedan 4d,good,207300,automatic,rwd,sedan,brown
1436,omaha / council bluffs,40699,2020,ford,edge titanium awd,new,1,automatic,4wd,SUV,red
1437,baltimore,9990,2007,lexus,es 350,excellent,123360,automatic,fwd,sedan,custom
1438,harrisburg,53000,2019,ford,f450 super duty,like new,59645,automatic,4wd,pickup,black
1439,baltimore,34990,2018,ford,f150 supercrew cab xlt,good,7432,automatic,4wd,pickup,blue
1440,myrtle beach,16590,2019,chevrolet,trax lt sport utility,good,2619,other,fwd,hatchback,white
1441,savannah / hinesville,5000,2006,ram,st,good,133000,automatic,rwd,truck,white
1442,new york city,15990,2017,toyota,corolla im hatchback 4d,good,23950,automatic,fwd,hatchback,silver
1443,cincinnati,8950,2013,honda,civic lx,excellent,81000,automatic,fwd,coupe,black
1444,ft myers / SW florida,15990,2017,jeep,renegade sport suv 4d,good,23112,other,4wd,other,red
1445,myrtle beach,41590,2018,toyota,tundra crewmax 1794,good,35336,other,4wd,pickup,black
1446,new haven,13495,2010,mercedes-benz,benz s550 4matic,excellent,153366,automatic,4wd,sedan,black
1447,western massachusetts,19800,2012,ram,1500,good,59315,automatic,4wd,truck,black
1448,detroit metro,5500,2015,nissan,varsa sv,excellent,113000,automatic,fwd,sedan,grey
1449,vermont,22249,2019,honda,accord lx,like new,3713,automatic,fwd,sedan,blue
1450,cumberland valley,41990,2012,chevrolet,camaro zl1 coupe 2d,good,2778,other,rwd,coupe,red
1451,santa barbara,23990,2018,volkswagen,golf gti s hatchback,good,13628,other,fwd,sedan,white
1452,madison,9980,2016,ford,fiesta,excellent,37710,automatic,fwd,hatchback,white
1453,"st louis, MO",2100,1990,ford,ranger,good,151000,automatic,rwd,truck,red
1454,south coast,7900,2012,subaru,forester,excellent,128848,automatic,4wd,wagon,grey
1455,iowa city,10995,2010,ram,1500,good,175281,automatic,4wd,pickup,grey
1456,atlanta,16900,2016,ford,f150 xl,good,61989,automatic,rwd,truck,green
1457,harrisburg,11488,2010,dodge,grand caravan,good,39333,automatic,fwd,van,silver
1458,birmingham,32900,2016,ram,2500,excellent,52738,automatic,4wd,pickup,white
1459,lexington,8800,2012,chrysler,town and country,like new,120000,automatic,fwd,mini-van,black
1460,eau claire,5395,2002,toyota,highlander,excellent,153,automatic,4wd,SUV,white
1461,chattanooga,3800,2003,gmc,yukon xl 1500,fair,224000,automatic,rwd,SUV,white
1462,maine,20990,2007,chevrolet,express cargo van,good,133355,automatic,rwd,truck,white
1463,long island,2800,2011,ford,focus,excellent,168000,automatic,fwd,sedan,silver
1464,hawaii,98999,2018,nissan,gtr r35,like new,8319,manual,4wd,coupe,white
1465,medford-ashland,8999,1997,ford,f350 diesels powerstroke,good,196293,automatic,rwd,truck,red
1466,modesto,13999,2014,mazda,mazda3,excellent,74599,automatic,fwd,sedan,custom
1467,new hampshire,3250,2005,pontiac,vibe,good,125000,automatic,fwd,hatchback,red
1468,new haven,7750,2008,jeep,grand cherokee,excellent,105000,automatic,4wd,SUV,black
1469,SF bay area,38000,2015,toyota,tacoma 4x4,like new,39780,automatic,4wd,truck,grey
1470,ventura county,10990,2009,ford,fusion sel sedan 4d,good,46704,other,fwd,sedan,silver
1471,"washington, DC",0,2014,chevrolet,silverado 1500 2lt,excellent,106732,automatic,4wd,truck,blue
1472,fort wayne,7681,2013,mitsubishi,outlander sport,good,97694,automatic,fwd,SUV,white
1473,minneapolis / st paul,1300,2002,chevrolet,suburban 1500,good,300000,automatic,4wd,SUV,silver
1474,binghamton,8295,2012,toyota,prius v two,good,116700,automatic,fwd,hatchback,black
1475,amarillo,35995,2016,dodge,challenger,like new,34498,manual,rwd,coupe,silver
1476,treasure coast,5499,2013,hyundai,accent,good,120869,automatic,fwd,hatchback,red
1477,wichita,10390,2017,nissan,sentra,excellent,88987,automatic,rwd,sedan,silver
1478,akron / canton,13900,2014,jeep,cherokee latitude,excellent,76500,automatic,4wd,SUV,black
1479,albany,8750,2013,ford,focus se,excellent,68563,automatic,fwd,sedan,grey
