,region,price,year,manufacturer,model,condition,odometer,transmission,drive,type,paint_color
1946,indianapolis,13900,1988,mercedes-benz,benz 560 sl convertible,excellent,108340,automatic,rwd,convertible,black
1947,long island,4700,2006,toyota,rav4,good,158248,automatic,4wd,SUV,blue
1948,fayetteville,10995,2012,mercedes-benz,benz c250 luxury,good,86775,automatic,rwd,sedan,silver
1949,ashtabula,1200,2004,pontiac,grand prix,fair,275520,automatic,fwd,coupe,green
1950,colorado springs,9749,2017,kia,forte,excellent,44485,automatic,fwd,sedan,blue
1951,wichita,17990,2013,chevrolet,silverado 3500hd,good,174100,automatic,4wd,truck,white
1952,los angeles,10590,2016,nissan,versa note sv hatchback,good,53071,automatic,fwd,hatchback,red
1953,dayton / springfield,14799,2019,dodge,grand caravan,excellent,98402,automatic,fwd,van,silver
1954,duluth / superior,10995,2009,chevrolet,silverado 1500,good,194812,automatic,4wd,truck,silver
1955,albuquerque,4250,1995,ford,e150 econoline,excellent,97033,automatic,fwd,van,white
1956,el paso,10995,2018,chevrolet,cruze lt,excellent,106000,automatic,fwd,sedan,silver
1957,new orleans,13947,2015,honda,civic coupe ex,good,43578,automatic,fwd,coupe,white
1958,columbia,0,2005,ford,f-750,good,16429,automatic,rwd,truck,red
1959,wilmington,39990,2020,dodge,challenger r/t scat pack,good,1719,manual,rwd,coupe,red
1960,knoxville,3450,2008,hyundai,accent gls 4dr sedan,excellent,131305,automatic,fwd,sedan,red
1961,east oregon,6995,2009,mini,cooper hardtop,excellent,75265,automatic,fwd,coupe,white
1962,tri-cities,6995,2003,gmc,sierra,good,162664,automatic,4wd,truck,blue
1963,SF bay area,7000,2009,honda,odyssey exl,excellent,170000,automatic,fwd,mini-van,blue
1964,el paso,24999,2019,cadillac,xt4,excellent,29839,automatic,rwd,SUV,silver
1965,columbia / jeff city,0,2012,chevrolet,corvette,excellent,51850,automatic,rwd,sedan,orange
1966,fayetteville,16900,2017,ford,fusion,excellent,25789,automatic,4wd,sedan,grey
